Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
0,2,24,16,30,5,3.808406,0
1,4,22,16,29.76609,6.871282,1,0
2,2,22,16,26.87347,6.871282,1,0
3,2,22,16,29.52575,8.794009,1,0
4,2,24,16,29.19529,11.43765,1,-2.176802
5,4,22,16,26.39279,10.71674,1,0
6,4,22,16,29.04507,11.11205,4.04038,1.843396
7,4,22,16,22.91574,7.819209,4.137937,-1.746737
8,4,24,16,31.23495,11.88386,2.615171,-2.176802
9,4,22,16,22.26967,7.6788,4.137937,-1.746737
10,4,22,16,21.94759,7.6788,4.137937,-1.746737
11,4,24,16,27.7579,8.986331,5.753108,-3.923539
12,4,20,16,25.56802,8.21452,4.020316,0.09665883
13,4,24,16,34.6481,7.956028,8.983451,-3.923539
14,4,26,16,32.60006,8.626036,10.40866,-4.256946
15,4,28,16,32.18787,9.346946,10.40866,-6.433748
16,4,22,16,34.63044,8.351338,9.636183,-1.781249
17,4,26,16,32.41056,9.346946,8.021011,-6.134853
18,4,22,16,34.04602,5.453811,12.77412,-3.527986
19,4,28,16,32.32044,10.06786,8.021011,-8.311655
20,4,28,16,34.38648,9.149144,10.40866,-6.433748
21,4,28,16,34.56699,9.927446,8.021011,-8.311655
22,2,28,16,33.98257,7.029919,11.15895,-10.05839
23,4,28,16,34.19857,11.34741,11.06139,-6.468259
24,6,30,16,33.78638,12.06832,11.06139,-8.645061
25,4,28,16,36.47857,11.39831,9.636183,-8.311655
26,4,30,16,30.30934,9.170789,14.19933,-10.3918
27,4,28,16,32.78049,9.170789,11.81168,-10.0929
28,4,28,16,35.89415,8.50078,12.77412,-10.05839
29,2,30,16,35.43561,12.16907,12.77412,-12.23519
30,4,28,16,34.91696,16.31826,12.77412,-10.05839
31,4,28,16,37.30704,7.553864,13.42685,-10.0929
32,4,30,16,34.52911,9.27154,15.91206,-13.98193
33,4,28,16,36.61253,11.94422,17.52723,-11.80513
34,6,30,16,34.87319,14.09179,12.77412,-12.23519
35,4,30,16,34.16069,10.6915,18.95244,-12.13853
36,6,32,16,34.07057,11.41241,18.95244,-14.31534
37,4,30,16,31.33642,14.09179,12.77412,-12.65394
38,4,30,16,33.70215,12.83237,21.99282,-13.23001
39,4,30,16,33.58297,12.42397,15.8145,-10.81054
40,6,30,16,35.86297,12.47487,14.38929,-12.65394
41,4,28,16,32.51065,7.793972,19.70273,-13.58638
42,4,30,16,32.79565,9.934842,25.13075,-14.97675
43,4,30,16,34.6344,9.577343,17.52723,-14.40068
44,4,32,16,32.29581,8.770835,20.56761,-14.73408
45,4,32,16,34.86635,8.770835,20.56761,-14.73408
46,4,30,16,36.82169,12.46816,22.18278,-12.55728
47,4,30,16,34.21962,12.41726,23.60799,-10.71389
48,4,32,16,34.20737,10.2417,22.18278,-14.73408
49,4,30,16,36.23727,9.570637,25.32071,-14.30402
50,2,30,16,35.65285,6.673109,28.45865,-16.05075
51,4,30,16,35.91519,8.043219,28.36109,-12.46062
52,4,30,16,38.16175,9.430227,25.32071,-14.30402
53,4,30,16,37.83967,7.902809,28.36109,-12.46062
54,4,30,16,40.08622,9.289818,25.32071,-14.30402
55,4,30,16,37.51568,9.289818,25.32071,-14.30402
56,4,30,16,37.27534,11.21255,25.32071,-14.30402
57,6,30,16,36.58484,14.15992,25.32071,-14.30402
58,4,30,16,36.90691,14.15992,25.32071,-14.72276
59,6,30,16,36.26276,14.15992,21.98713,-14.30402
60,4,30,16,36.32249,11.26239,28.45865,-16.4695
61,6,30,16,36.58484,14.15992,25.32071,-14.72276
62,4,30,16,35.67834,9.734978,31.49903,-14.20736
63,4,32,16,38.74128,14.74042,25.32071,-16.89957
64,4,30,16,35.35627,11.26239,28.45865,-16.4695
65,4,32,16,37.83478,11.8429,28.45865,-18.6463
66,4,30,16,34.44977,8.364867,31.59658,-18.21624
67,4,32,16,35.26423,11.8429,28.45865,-18.6463
68,4,30,16,32.12675,12.73326,30.07382,-16.4695
69,4,32,16,34.35773,8.945368,31.59658,-20.39304
70,4,30,16,34.6973,12.73326,30.07382,-16.4695
71,4,32,16,38.64586,9.39158,33.21175,-20.39304
72,6,30,16,36.94385,12.59285,30.07382,-16.4695
73,4,30,16,30.5761,9.835729,33.21176,-18.21624
74,4,30,16,36.35942,9.695319,33.21176,-18.21624
75,4,30,16,39.1904,10.92502,31.02189,-14.62611
76,4,28,16,38.57777,10.97592,28.53099,-16.4695
77,4,30,16,38.86832,10.92502,33.1142,-14.62611
78,4,28,16,37.67128,8.078394,31.66893,-18.21624
79,4,30,16,43.42832,9.499407,30.51065,-16.4695
80,4,28,16,40.13383,12.25547,31.57137,-14.62611
81,4,28,16,39.22733,10.88536,31.66893,-18.21624
82,4,28,16,39.5494,9.357944,34.70931,-16.37284
83,2,28,16,38.96498,6.460417,37.84724,-18.11958
84,2,28,16,42.19782,6.461469,31.19179,-18.21624
85,4,28,16,38.58126,9.217535,34.70931,-16.37284
86,4,28,16,39.5494,10.88536,27.48432,-18.21624
87,4,30,16,35.98225,5.65391,37.55405,-18.45299
88,4,28,16,36.07236,7.987834,30.62225,-19.96297
89,2,28,16,40.49284,10.6884,32.9909,-16.37284
90,4,30,16,40.77114,8.461929,32.9909,-18.54964
91,4,30,16,40.44907,8.461929,32.9909,-18.54964
92,4,28,16,38.25919,6.162702,36.75529,-12.68605
93,4,28,16,39.346,9.713596,35.42764,-18.11958
94,4,28,16,36.77545,9.713596,35.42764,-18.11958
95,2,28,16,36.19103,6.816069,38.56557,-19.86632
96,4,26,16,36.45338,9.713596,35.42764,-18.87765
97,4,24,16,36.16669,14.5837,32.26963,-18.87765
98,4,26,16,35.89096,11.63632,35.42764,-18.87765
99,4,28,16,40.64495,9.707943,37.95677,-18.11958
100,4,26,16,36.16669,13.05628,38.46801,-17.03426
101,4,28,16,37.16791,6.810415,41.09471,-19.86632
102,4,26,16,38.12461,13.10719,37.0428,-18.87765
103,4,24,16,35.26019,10.15876,38.44795,-18.78099
104,2,24,16,34.67577,7.261229,41.58588,-20.52773
105,4,24,16,37.18467,10.01835,38.44795,-18.78099
106,4,24,16,36.92232,7.120819,41.58588,-20.52773
107,4,26,16,34.20073,11.17881,37.47964,-19.2964
108,2,26,16,33.61631,8.281278,40.61757,-21.04314
109,4,26,16,41.9439,9.70229,39.09481,-19.2964
110,4,26,16,35.86286,8.140868,40.61757,-21.04314
111,6,26,16,33.18623,13.98577,37.47964,-19.2964
112,6,26,16,33.18623,13.98577,37.47964,-19.2964
113,6,26,16,32.54208,13.98577,37.47964,-19.2964
114,6,26,16,32.49574,16.93315,37.47964,-19.2964
115,6,26,16,29.60312,16.93315,37.47964,-19.2964
116,4,26,16,24.13994,16.93315,37.47964,-19.2964
117,6,26,16,31.58924,14.03562,40.61757,-21.04314
118,4,28,16,28.92858,13.22912,43.65795,-21.37654
119,4,26,16,26.81657,11.08825,40.61757,-21.04314
120,4,26,16,32.27974,11.08825,40.61757,-21.04314
121,4,26,16,29.06312,10.94784,40.61757,-21.04314
122,4,26,16,29.06504,9.560828,43.65795,-19.19974
123,4,26,16,31.30967,10.80743,40.61757,-21.04314
124,4,26,16,30.98952,9.420419,43.65795,-19.19974
125,4,26,16,33.23414,10.66702,40.61757,-21.04314
126,4,26,16,32.91399,9.280009,43.65795,-19.19974
127,2,26,16,32.32957,6.382482,46.79589,-20.94648
128,2,26,16,30.10311,11.20274,43.65795,-19.19974
129,2,26,16,29.51868,8.305209,46.79589,-20.94648
130,4,26,16,30.02137,9.280009,43.65795,-19.19974
131,4,26,16,31.44316,8.1648,46.79589,-20.94648
132,2,26,16,32.3831,6.671387,51.35388,-15.51295
133,4,26,16,30.01945,9.1396,40.32438,-19.19974
134,4,26,16,32.99921,10.97177,46.79589,-20.94648
135,2,26,16,32.70866,9.495253,48.41106,-20.94648
136,4,26,16,32.99921,10.97177,43.46231,-20.94648
137,2,26,16,32.41479,8.07424,46.60025,-22.69321
138,2,26,16,31.83036,5.176712,49.73818,-24.43995
139,4,26,16,35.27921,9.495253,41.7439,-20.94648
140,4,26,16,35.24576,10.83136,43.46231,-21.36522
141,4,26,16,34.60161,10.83136,43.46231,-20.94648
142,4,26,16,34.91078,12.44263,38.41033,-20.94648
143,6,26,16,34.58871,12.44263,38.41033,-20.94648
144,4,26,16,37.15733,12.30222,38.41033,-20.94648
145,4,26,16,34.29816,10.96611,40.0255,-20.94648
146,4,26,16,36.57291,9.404693,41.54826,-22.69321
147,4,26,16,33.71373,8.068586,43.16343,-22.69321
148,4,26,16,41.39526,9.34919,40.93946,-20.94648
149,4,26,16,35.62531,9.539448,44.7786,-22.69321
150,2,26,16,35.04088,6.64192,47.91654,-24.43995
151,2,26,16,37.87186,9.399038,44.7786,-22.69321
152,4,26,16,34.98116,9.539448,41.44503,-22.69321
153,4,28,16,37.16911,8.643433,46.39377,-24.87002
154,4,28,16,37.41332,13.06733,41.44503,-24.87002
155,4,26,16,36.90563,7.871622,44.4854,-20.84982
156,4,28,16,36.8289,10.1698,44.58296,-26.61675
157,4,28,16,37.13759,10.11995,41.44503,-24.87002
158,4,26,16,36.25956,7.731212,44.4854,-20.84982
159,4,28,16,36.18282,10.02939,44.58296,-26.61675
160,4,28,16,38.78682,8.693283,40.77225,-26.61675
161,4,28,16,35.5984,7.131861,47.7209,-28.36349
162,4,28,16,37.73888,12.83636,44.58296,-26.61675
163,6,28,16,40.34287,11.50025,40.77225,-26.61675
164,6,28,16,39.66335,12.69595,44.58296,-26.61675
165,4,28,16,34.84625,11.30894,44.28976,-24.77336
166,4,28,16,42.29887,9.883326,44.47972,-26.61675
167,4,28,16,39.01728,11.02812,47.62334,-24.77336
168,4,28,16,38.82183,6.985798,47.61766,-28.36349
169,4,28,16,41.58783,11.02812,47.62334,-24.77336
170,6,28,16,36.48596,14.65163,47.33014,-22.92996
171,4,28,16,36.51752,14.39917,47.33014,-22.92996
172,4,28,16,41.01251,13.0347,48.94531,-22.92996
173,4,28,16,38.41044,12.9838,50.37052,-21.08657
174,4,28,16,40.42809,10.13717,52.08325,-24.6767
175,4,28,16,37.50394,10.08627,53.50846,-22.8333
176,4,28,16,38.11989,11.50728,51.98569,-21.08657
177,4,28,16,37.89101,10.02513,52.08325,-24.6767
178,4,30,16,37.38562,12.22819,51.98569,-23.26337
179,2,30,16,36.8012,9.330667,55.12363,-25.01011
180,6,30,16,36.73956,12.08778,51.98569,-23.26337
181,2,30,16,36.15513,9.190257,55.12363,-25.01011
182,4,30,16,36.53265,12.67441,50.26728,-23.26337
183,2,30,16,35.94823,9.776878,53.40522,-25.01011
184,4,30,16,32.67809,6.292729,58.26156,-26.75684
185,4,30,16,38.45713,12.534,50.26728,-23.26337
186,4,30,16,38.49058,11.19789,48.54888,-23.26337
187,4,30,16,35.92003,11.19789,48.54888,-23.68212
188,4,30,16,37.58408,8.300364,51.68681,-25.01011
189,4,28,16,40.67118,9.721376,47.0752,-22.96447
190,2,28,16,40.08676,6.823849,50.21313,-24.71121
191,2,28,16,43.06447,9.915136,47.29926,-22.96447
192,4,28,16,40.67118,9.721376,43.04042,-22.96447
193,2,28,16,40.08676,6.823849,46.17835,-24.71121
194,4,28,16,39.76801,6.768346,48.91443,-22.96447
195,4,28,16,40.05856,8.244862,45.35679,-22.96447
196,4,28,16,42.22723,12.52834,43.04042,-22.96447
197,4,28,16,40.02511,9.580967,42.33921,-22.96447
198,4,28,16,41.32074,9.630816,46.17835,-24.71121
199,2,28,16,40.73631,6.733289,49.31629,-26.45795
200,4,28,16,38.75019,8.103399,49.21873,-22.86782
201,2,28,16,38.16577,5.205872,52.35667,-24.61455
202,4,30,16,40.94007,7.347794,50.8339,-25.04462
203,2,28,16,39.05696,9.440557,41.63801,-22.96447
204,2,28,16,38.47254,6.54303,44.77595,-24.71121
205,4,30,16,37.40137,7.207385,50.8339,-25.04462
206,2,30,16,39.64793,7.066975,50.8339,-25.04462
207,4,28,16,37.86378,9.885717,49.21873,-22.86782
208,4,30,16,39.00185,6.926566,50.8339,-25.04462
209,2,30,16,41.24841,6.786156,50.8339,-25.04462
210,2,28,16,37.78204,7.96299,49.21873,-23.28656
211,4,28,16,34.56734,7.96299,49.21873,-22.86782
212,4,30,16,37.40137,7.207385,50.8339,-25.04462
213,2,30,16,39.64793,7.066975,50.8339,-25.04462
214,2,30,16,41.89448,6.926566,50.8339,-25.04462
215,2,30,16,37.19259,8.877659,50.8339,-25.46336
216,2,30,16,36.60817,5.980131,53.97184,-27.2101
217,2,30,16,38.85472,5.839722,53.97184,-27.2101
218,4,30,16,38.11544,8.708883,50.8339,-25.04462
219,4,28,16,38.64925,11.68463,48.44625,-25.16447
220,2,28,16,38.06483,8.787099,51.58419,-26.91121
221,2,28,16,37.4804,5.889571,54.72212,-28.65794
222,2,30,16,37.10094,9.988434,53.87428,-23.20122
223,4,28,16,37.09668,8.646689,51.58419,-26.91121
224,4,30,16,36.45487,9.848024,53.87428,-23.20122
225,4,30,16,37.46937,7.041057,53.87428,-23.20122
226,2,30,16,36.98869,10.88651,53.87428,-23.20122
227,4,30,16,36.8606,10.38374,56.91466,-21.35783
228,4,32,16,36.77049,12.63207,51.78197,-25.37802
229,4,30,16,36.8606,11.91116,51.78197,-23.20122
230,4,32,16,36.18607,9.734544,54.91991,-27.12476
231,4,30,16,35.95411,9.013634,54.91991,-24.94796
232,2,30,16,33.38356,9.013634,54.91991,-24.94796
233,4,34,16,38.60485,13.21257,51.08077,-27.55482
234,6,32,16,38.45462,14.41439,51.08077,-25.37802
235,4,28,16,40.40327,10.68955,56.14218,-21.05893
236,4,32,16,38.53636,14.8097,54.12115,-23.95337
237,4,32,16,40.81635,14.8606,50.60364,-25.79677
238,4,34,16,32.8196,13.21257,51.08077,-27.55482
239,6,36,16,30.15894,13.93348,51.08077,-29.73163
240,4,36,16,37.77171,11.82657,60.29947,-28.21032
241,6,32,16,38.21428,14.8097,52.02885,-23.95337
242,6,32,16,32.75111,14.8097,52.02885,-23.95337
243,4,34,16,29.83687,13.93348,47.92277,-29.73163
244,4,36,16,26.62217,10.87865,57.16153,-26.04484
245,4,36,16,29.19272,9.351231,60.20191,-24.20144
246,4,36,16,32.08534,10.87865,57.16153,-26.04484
247,6,36,16,33.72118,12.45697,52.69594,-29.73163
248,4,36,16,30.82856,12.45697,52.69594,-29.73163
249,6,36,16,31.47271,12.45697,52.69594,-29.73163
250,4,36,16,28.66182,14.37969,52.69594,-29.73163
251,4,34,16,27.93594,10.92955,52.57832,-27.88823
252,4,36,16,25.18478,11.48217,55.83388,-31.47836
253,4,36,16,30.61975,12.90318,54.31111,-29.73163
254,4,36,16,26.00954,10.92955,55.73632,-27.88823
255,4,36,16,26.00954,12.45697,52.69594,-29.73163
256,4,36,16,32.86822,12.90318,54.31111,-29.73163
257,4,36,16,27.40505,12.90318,54.31111,-29.73163
258,4,36,16,27.1427,8.478234,60.48943,-29.63497
259,4,36,16,25.68747,10.92955,55.73632,-27.88823
260,6,36,16,29.9756,12.90318,54.31111,-29.73163
261,6,36,16,26.7609,12.90318,54.31111,-29.73163
262,4,36,16,25.36539,10.92955,55.73632,-27.88823
263,6,36,16,29.33145,12.90318,54.31111,-29.73163
264,6,36,16,23.86828,12.90318,54.31111,-29.73163
265,4,36,16,27.93594,10.92955,55.73632,-27.88823
266,4,36,16,29.0409,11.42666,55.92628,-29.73163
267,4,36,16,23.86828,11.37576,57.35149,-27.88823
268,4,36,16,26.14828,11.42666,55.92628,-29.73163
269,4,36,16,23.54621,9.848345,60.39187,-26.04484
270,4,36,16,25.8262,11.42666,55.92628,-29.73163
271,4,36,16,28.39675,11.42666,55.92628,-29.73163
272,4,36,16,28.39675,11.42666,55.92628,-29.73163
273,4,36,16,25.50413,11.42666,55.92628,-29.73163
274,4,36,16,25.50413,11.42666,55.92628,-29.73163
275,4,36,16,20.04096,11.42666,55.92628,-29.73163
276,4,36,16,25.18205,11.42666,55.92628,-29.73163
277,4,36,16,24.85998,11.42666,55.92628,-29.73163
278,4,34,16,28.07467,11.42666,52.76828,-29.73163
279,4,36,16,21.64528,11.42666,55.92628,-29.73163
280,4,36,16,25.18205,11.42666,55.92628,-29.73163
281,4,36,16,28.07467,11.42666,55.92628,-29.73163
282,4,34,16,28.07467,11.42666,52.76828,-29.73163
283,4,36,16,25.18205,11.42666,55.92628,-29.73163
284,4,34,16,25.18205,11.42666,52.76828,-29.73163
285,4,36,16,24.85998,11.42666,55.92628,-29.73163
286,4,36,16,27.43052,11.42666,55.92628,-29.73163
287,4,36,16,21.00113,11.42666,55.92628,-29.73163
288,4,36,16,20.67905,11.42666,55.92628,-29.73163
289,6,34,16,27.43052,11.42666,52.76828,-29.73163
290,6,36,16,27.10845,11.42666,55.92628,-29.73163
291,4,36,16,24.5379,11.42666,55.92628,-29.73163
292,4,36,16,22.92753,11.42666,55.92628,-29.73163
293,4,34,16,29.355,11.28625,52.76828,-29.73163
294,4,34,16,26.46238,11.28625,52.76828,-29.73163
295,4,36,16,29.03292,11.28625,55.92628,-29.73163
296,4,34,16,29.03292,11.28625,52.76828,-29.73163
297,4,36,16,23.24768,11.28625,55.92628,-29.73163
298,4,36,16,26.1403,11.28625,55.92628,-29.73163
299,4,36,16,25.49615,11.28625,55.92628,-29.73163
