Generation,Points Normal Boat,Steps Normal Boat,Ray Radius Normal Boat,Sight Normal Boat,Moving Speed Normal Boat, Box Weight Normal Boat, Boat Weight Normal Boat
0,2,22,16,31.61517,4.899052,1,-2.404845
1,2,22,16,30,5,0.6504054,0
2,2,19,16,29.67793,5,1,-1.527417
3,2,19,16,31.92447,4.859591,1,-1.527417
4,2,22,15,24.83332,9.731134,1,-2.892622
5,4,19,16,29.19724,8.845455,1,-1.527417
6,2,19,16,28.61282,5.947927,4.137937,-3.274154
7,4,19,16,31.12172,8.705046,1,-1.527417
8,4,19,16,30.78674,10.31632,2.615171,-1.527417
9,4,19,13,28.2291,8.705046,1,-3.001704
10,4,19,16,27.48606,9.652973,4.137937,-3.274154
11,4,21,16,27.26787,11.39853,4.137937,-5.450956
12,4,17,16,34.99122,8.699392,1.072341,-1.527417
13,4,21,16,29.54786,9.922018,5.753108,-5.869702
14,4,21,13,29.54786,9.922018,5.753108,-7.34399
15,6,21,16,31.90963,11.59229,5.753108,-5.869702
16,6,23,16,31.49744,12.3132,5.753108,-8.046505
17,4,23,13,31.49744,12.3132,5.753108,-9.520792
18,4,23,10,31.49744,12.3132,5.753108,-10.99508
19,4,23,16,23.14165,12.3132,5.753108,-8.046505
20,4,23,14,31.18059,14.84803,6.089486,-12.8126
21,4,23,14,30.85851,14.84803,6.089486,-12.8126
22,6,23,14,30.59616,11.9505,9.227423,-14.55934
23,6,23,14,28.28796,14.84803,6.089486,-12.8126
24,4,23,16,25.3882,9.117959,11.83387,-4.359714
25,4,23,14,30.53451,14.70762,6.089486,-12.8126
26,6,23,14,27.38147,11.9505,9.227423,-14.55934
27,6,23,14,29.95009,11.81009,9.227423,-14.55934
28,4,23,11,29.95009,11.81009,9.227423,-16.03363
29,6,23,14,32.60573,13.37396,10.74504,-10.96921
30,6,23,12,26.74061,14.34492,9.563801,-19.32544
31,4,23,12,29.31116,14.34492,9.563801,-19.32544
32,6,23,12,29.10238,16.0152,9.563801,-19.32544
33,6,23,14,27.31982,14.70762,6.089486,-12.8126
34,6,23,14,26.67567,14.70762,6.089486,-12.8126
35,6,23,14,27.11103,14.85048,9.129866,-10.96921
36,6,23,14,28.46345,18.55003,8.598177,-22.67861
37,4,23,14,25.8929,18.55003,8.598177,-22.67861
38,6,23,14,26.43533,15.10293,9.129866,-10.96921
39,4,23,14,26.43533,15.10293,9.129866,-10.96921
40,4,23,14,26.22655,15.24579,12.17025,-9.125814
41,4,23,14,22.55448,10.28268,12.2678,-12.71595
42,6,23,14,25.64212,13.87568,12.2678,-12.71595
43,6,27,14,25.3486,13.64723,12.2678,-17.06955
44,4,27,14,22.77805,13.64723,12.2678,-17.06955
45,6,23,14,27.5666,13.73527,12.2678,-12.71595
46,4,25,14,25.43872,12.92632,12.2678,-14.89275
47,6,23,14,27.88867,13.73527,12.2678,-12.71595
48,4,25,14,24.79457,12.92632,12.2678,-14.89275
49,4,25,14,24.79457,12.92632,12.2678,-14.89275
50,4,23,14,26.69162,9.361227,17.02091,-14.46268
51,4,25,14,29.32111,9.781974,16.92335,-13.04935
52,4,23,14,28.93817,9.220818,17.02091,-14.46268
53,4,23,14,28.72939,10.89109,17.02091,-14.46268
54,4,23,14,28.2921,9.080408,17.02091,-14.46268
55,4,25,14,28.30662,12.58894,16.92335,-13.04935
56,6,25,14,30.87717,12.58894,16.92335,-13.04935
57,4,25,14,27.40012,9.691414,20.06129,-14.79609
58,4,25,14,24.82957,9.691414,20.06129,-14.79609
59,4,25,14,29.64667,9.551004,20.06129,-14.79609
60,4,27,14,29.55655,10.27191,20.06129,-16.97289
61,4,25,14,30.0524,10.08672,23.10167,-12.95269
62,4,27,14,29.55655,8.744497,23.10167,-15.1295
63,4,25,14,29.40633,9.946315,23.10167,-12.95269
64,4,25,14,32.3324,8.610209,24.71684,-12.95269
65,4,25,14,25.92928,7.048787,26.23961,-14.69943
66,4,25,14,31.97688,9.946315,23.10167,-12.95269
67,4,25,14,33.56445,11.27677,24.71684,-12.95269
68,4,25,14,31.39245,7.048787,26.23961,-14.69943
69,4,25,14,32.98003,8.379239,27.85478,-14.69943
70,4,27,14,34.13331,8.999398,26.14205,-13.2861
71,4,25,14,36.135,9.74935,27.75722,-11.1093
72,4,25,14,33.90135,8.278488,26.14205,-11.1093
73,4,25,14,35.89466,11.67208,27.75722,-11.1093
74,4,27,14,27.76365,6.101871,29.27999,-15.03284
75,4,27,14,30.41593,6.497181,32.32037,-13.18944
76,4,27,14,30.20714,8.167456,32.32037,-13.18944
77,4,27,14,29.76985,6.356772,32.32037,-13.18944
78,4,27,14,29.35417,8.613668,33.93554,-13.18944
79,4,27,14,31.92472,8.613668,33.93554,-13.18944
80,2,27,14,31.3403,5.716141,37.07347,-14.93618
81,4,27,14,34.17127,8.473259,33.93554,-13.18944
82,4,27,14,28.38603,8.473259,33.93554,-13.18944
83,4,27,14,33.37806,7.246006,37.07347,-14.93618
84,4,27,14,36.41782,8.33285,33.93554,-13.18944
85,4,27,14,35.43678,9.803711,35.5507,-13.18944
86,4,27,14,37.68525,9.803711,35.5507,-13.18944
87,4,27,14,35.1147,9.803711,35.5507,-13.18944
88,4,27,14,39.60973,9.663301,35.5507,-13.18944
89,4,29,14,28.97699,7.627093,38.68864,-17.11298
90,4,29,14,31.22547,7.627093,38.68864,-17.11298
91,4,29,14,31.86962,7.627093,38.68864,-17.53173
92,4,29,14,25.87559,9.297367,38.68864,-17.53173
93,4,29,14,28.44614,9.297367,38.68864,-17.11298
94,4,29,14,28.23735,10.96764,38.68864,-17.11298
95,4,29,14,31.33876,9.297367,38.68864,-17.53173
96,4,31,14,31.24864,10.01828,38.68864,-19.70853
97,2,31,14,30.66422,7.120749,41.82658,-21.45527
98,4,29,14,24.76031,6.542697,44.86695,-17.01632
99,4,31,14,30.01814,6.98034,41.82658,-21.45527
100,4,31,14,35.77519,8.401352,40.30381,-19.70853
101,4,31,14,32.67567,8.987974,41.91898,-19.70853
102,4,31,14,35.24622,8.987974,41.91898,-19.70853
103,2,31,14,32.02435,7.235241,44.86695,-19.61187
104,4,31,14,35.12912,8.260942,36.1192,-19.70853
105,4,31,14,32.02435,7.235241,41.53338,-19.61187
106,4,31,14,31.46194,9.157969,41.53338,-19.61187
107,4,31,14,33.74004,8.765106,44.86695,-19.61187
108,4,31,14,34.2709,7.094832,41.53338,-19.61187
109,4,31,14,33.70849,7.490142,44.57376,-17.76847
110,4,31,14,33.62483,6.954422,41.53338,-19.61187
111,4,33,14,30.11123,9.345607,44.86695,-21.78867
112,4,31,14,33.34007,10.43752,44.57376,-17.76847
113,4,33,14,29.52681,6.448079,48.00489,-23.53541
114,4,31,14,29.86302,7.539991,47.71169,-19.51521
115,4,31,14,35.13454,11.18135,44.57376,-17.76847
116,4,31,14,35.50296,8.233974,44.57376,-17.76847
117,6,31,14,34.2816,12.85163,44.57376,-17.76847
118,4,31,14,34.48846,9.513524,47.61414,-15.92508
119,4,31,14,29.21695,5.872165,50.75207,-17.67182
120,4,31,14,28.57809,14.77435,44.57376,-17.76847
121,4,31,14,30.82656,14.77435,44.57376,-17.76847
122,4,29,14,28.25602,14.77435,41.41576,-17.76847
123,6,31,14,31.14864,13.24694,47.61414,-16.34383
124,4,31,14,27.75332,12.27214,50.75207,-17.67182
125,4,31,14,29.89186,13.29784,46.18893,-18.18722
126,4,31,14,35.38656,8.766489,53.88485,-14.50043
127,4,31,14,28.98537,10.40031,49.32686,-19.93396
128,4,31,14,39.38414,10.79102,51.03444,-18.18722
129,4,31,14,36.49152,10.79102,51.03444,-18.18722
130,4,33,14,37.3361,9.933612,55.50002,-16.67723
131,2,33,14,36.75168,7.036084,58.63796,-18.42397
132,4,33,14,41.8961,8.507999,55.68998,-18.52063
133,6,31,14,36.49538,14.08281,55.50002,-14.50043
134,6,31,14,36.49538,14.08281,55.50002,-14.50043
135,4,29,14,33.6491,11.13543,55.50002,-15.2585
136,6,31,14,38.3735,16.88977,55.50002,-14.50043
137,4,29,14,33.06468,8.237902,58.63796,-17.00524
138,6,31,14,38.00508,19.83715,52.16645,-14.50043
139,6,33,14,38.28339,17.61068,52.16645,-16.67723
140,6,33,14,38.04305,18.00599,55.20683,-14.83384
141,6,31,14,34.79038,19.83715,48.83287,-14.50043
142,4,31,14,34.79038,19.83715,48.83287,-14.50043
143,6,31,14,37.03886,19.83715,48.83287,-14.50043
144,4,33,14,32.12972,20.55806,48.83287,-16.67723
145,4,33,14,34.37819,20.55806,45.49929,-16.67723
146,4,33,11,34.37819,20.55806,45.49929,-18.15152
147,4,31,14,38.73775,15.40761,50.3448,-14.50043
148,4,31,14,30.66919,12.35737,61.09194,-10.71698
149,4,33,12,36.34134,21.61637,47.45084,-21.44333
150,6,33,12,31.0786,23.8138,42.67767,-23.62013
151,6,35,12,31.0786,23.8138,45.83567,-23.62013
152,6,37,12,30.66642,24.53471,45.83567,-25.79694
153,6,33,12,31.0786,23.8138,39.3441,-23.62013
154,6,31,14,35.81361,12.30187,57.85077,-8.970245
155,6,35,12,27.60156,19.38885,52.01399,-23.52348
156,6,37,12,29.75992,20.10976,52.01399,-25.70028
157,6,35,12,27.77379,24.53471,39.3441,-25.79694
158,4,35,12,27.18937,21.63718,42.48203,-27.54367
159,6,35,12,27.77379,24.53471,39.3441,-25.79694
160,6,35,12,24.88117,24.53471,39.3441,-25.79694
161,6,33,14,32.46244,15.97016,57.85077,-11.14705
162,6,33,14,32.46244,15.97016,57.85077,-11.14705
163,4,31,14,32.55256,13.72183,60.89115,-7.12685
164,6,35,14,32.13199,17.08638,60.89115,-11.48045
165,4,35,14,31.54756,14.18885,64.02908,-13.22719
166,4,35,14,36.69199,15.66076,61.08111,-13.32385
167,6,35,14,34.41199,15.60986,62.50632,-11.48045
168,6,35,14,36.10756,12.76324,64.21905,-15.07059
169,4,35,14,25.06796,12.31702,62.60387,-15.07059
170,4,35,14,30.93494,12.71233,65.64426,-13.22719
171,4,35,14,33.50549,12.71233,65.64426,-13.22719
172,6,35,14,33.2967,14.38261,65.64426,-13.22719
173,4,35,14,27.63851,12.31702,62.60387,-15.07059
174,6,35,14,27.72025,12.71233,62.31068,-13.22719
175,4,35,14,30.29079,12.71233,62.31068,-13.22719
176,6,35,14,24.74589,12.31702,62.60387,-15.07059
177,4,35,14,29.96872,12.71233,62.31068,-13.22719
178,4,35,14,24.09981,12.17661,62.60387,-15.07059
179,4,35,14,29.06222,9.814807,65.44862,-14.97393
180,4,37,14,32.12516,13.29284,62.31068,-15.40399
181,4,35,14,39.46099,8.678101,73.53016,-11.38379
182,4,35,14,29.32265,12.57193,62.31068,-13.22719
183,6,35,14,36.79494,12.01865,73.53016,-11.38379
184,4,35,14,37.21252,8.678101,73.53016,-11.38379
185,4,35,14,33.46696,10.34838,73.53016,-11.38379
186,4,35,14,36.47287,12.01865,73.53016,-11.80254
187,4,33,14,33.04549,10.34838,71.14251,-11.0849
188,4,33,14,30.79702,10.34838,71.14251,-11.0849
189,4,35,14,36.47287,12.01865,70.19658,-12.22129
190,4,33,14,30.21259,7.450848,74.28045,-12.83164
191,6,35,14,36.10445,14.96603,70.19658,-12.22129
192,4,33,14,35.46698,9.121122,74.28045,-13.25038
193,6,37,14,33.12171,15.68694,70.19658,-14.39809
194,4,33,14,34.88256,6.223595,77.41839,-14.99712
195,4,33,14,38.38445,11.96209,74.85213,-11.13597
196,6,37,14,32.53729,12.78941,73.33452,-16.14483
197,4,33,14,37.80002,9.064567,77.99007,-12.8827
198,6,33,14,38.01602,14.90947,74.85213,-11.13597
199,6,33,14,37.80724,16.57975,74.85213,-11.13597
200,6,33,14,37.80724,16.57975,74.85213,-11.13597
201,6,33,14,37.43881,19.52712,74.85213,-11.13597
202,6,33,14,37.22281,13.68222,77.99007,-13.30145
203,6,33,14,36.57866,13.68222,77.99007,-12.8827
204,4,31,14,33.90872,12.1548,78.64281,-10.74041
205,4,37,14,23.21527,12.78941,73.33452,-16.14483
206,4,31,14,33.3243,9.257274,81.78075,-12.48715
207,4,31,14,33.11551,9.40013,84.82113,-10.64375
208,4,33,14,38.27424,9.308176,80.65088,-14.62944
209,6,33,14,37.58374,12.25555,78.55857,-14.62944
210,6,33,14,35.01319,12.25555,78.55857,-14.62944
211,4,33,14,36.99932,9.358026,81.69651,-16.37618
212,6,33,14,34.69112,12.25555,80.65088,-14.62944
213,4,33,14,34.42877,9.358026,81.69651,-16.37618
214,6,33,14,32.12057,12.25555,80.65088,-14.62944
215,4,33,14,30.892,9.358026,83.78882,-16.37618
216,4,33,14,36.46842,8.276821,86.35207,-14.53278
217,4,33,14,31.21407,9.358026,83.78882,-16.37618
218,4,33,14,33.5758,9.804237,83.31168,-16.37618
219,4,33,14,35.64366,7.302021,89.49001,-16.27952
220,4,33,14,35.82235,9.663828,83.31168,-16.37618
221,4,35,14,35.73223,10.38474,83.31168,-18.55298
222,6,35,14,35.49189,12.30747,83.31168,-18.55298
223,4,33,14,34.8413,11.13469,84.92686,-16.37618
224,4,35,14,34.75505,18.20222,83.31168,-18.55298
225,4,33,14,34.25688,8.237162,88.0648,-18.12291
226,4,35,14,34.17062,15.30469,86.44962,-20.29972
227,4,33,14,30.98246,11.13469,84.92686,-16.37618
228,4,33,14,30.98245,11.13469,84.92686,-16.37618
229,6,37,14,33.49609,13.12808,89.58756,-24.22325
230,4,33,14,28.08983,11.13469,84.92686,-16.37618
231,6,37,14,35.74264,12.98767,89.58756,-24.22325
232,4,33,14,27.50541,8.237162,88.0648,-18.12291
233,4,33,14,33.23093,11.13469,84.92686,-16.37618
234,4,37,14,26.80434,10.23055,92.7255,-25.96999
235,6,35,14,33.14081,11.8556,84.92686,-18.55298
236,4,37,14,26.21992,7.33302,95.86344,-27.71673
237,4,33,14,32.00235,8.237162,88.0648,-18.12291
238,4,35,14,35.06529,11.71519,84.92686,-18.55298
239,6,33,14,34.78698,13.94166,84.92686,-16.37618
240,6,35,14,34.69687,14.66257,84.92686,-18.55298
241,6,33,14,34.20256,11.04413,88.0648,-18.12291
242,4,33,14,33.96222,12.96686,88.0648,-18.12291
243,4,33,14,33.61813,8.146602,91.20274,-19.86965
244,4,33,14,37.4354,7.990348,89.58241,-14.95153
245,4,33,14,33.05572,10.06933,91.20274,-19.86965
246,4,33,14,37.4354,7.990348,86.24883,-14.95153
247,6,35,14,30.57567,11.76504,88.0648,-20.29972
248,2,35,14,29.99125,8.867512,91.20274,-22.04645
249,4,33,14,39.68195,7.849939,86.24883,-14.95153
